Store_ID,Month,Date,Dept,IsHoliday,Weekly_Sales,CPI,Unemployment
1,2.0,2010-02-05,1,0,24924.5,211.0963582,8.106
1,2.0,2010-02-05,26,0,11737.12,211.0963582,8.106
1,2.0,2010-02-05,17,0,13223.76,211.0963582,8.106
1,2.0,2010-02-05,45,0,37.44,211.0963582,
1,2.0,2010-02-05,28,0,1085.29,211.0963582,
1,2.0,2010-02-05,79,0,46729.77,211.0963582,
1,2.0,2010-02-05,55,0,21249.31,211.0963582,
1,2.0,2010-02-05,5,0,32229.38,211.0963582,
1,2.0,2010-02-05,58,0,7659.97,211.0963582,
1,2.0,2010-02-05,7,0,,211.0963582,
1,2.0,2010-02-05,83,0,,211.0963582,8.106
1,2.0,2010-02-05,9,0,,211.0963582,8.106
1,2.0,2010-02-05,87,0,,211.0963582,8.106
1,2.0,2010-02-05,34,0,,211.0963582,8.106
1,2.0,2010-02-05,19,0,1947.05,211.0963582,8.106
1,2.0,2010-02-05,52,0,3508.04,211.0963582,8.106
1,,,74,0,12251.94,211.0963582,8.106
1,,,38,0,115564.35,211.0963582,8.106
1,,,93,0,64494.87,211.0963582,8.106
1,,,23,0,24146.49,211.0963582,8.106
1,,,16,0,10217.55,211.0963582,8.106
1,2.0,2010-02-05,95,0,106690.06,211.0963582,8.106
1,2.0,2010-02-05,2,0,50605.27,211.0963582,8.106
1,2.0,2010-02-05,27,0,2293.0,211.0963582,8.106
1,2.0,2010-02-05,51,0,1.16,211.0963582,8.106
1,2.0,2010-02-05,4,0,39954.04,211.0963582,8.106
1,2.0,2010-02-05,80,0,15694.17,211.0963582,8.106
1,2.0,2010-02-05,29,0,7024.95,211.0963582,8.106
1,2.0,2010-02-05,56,0,2567.36,211.0963582,8.106
1,2.0,2010-02-05,31,0,3455.92,211.0963582,8.106
1,2.0,2010-02-05,33,0,8589.77,211.0963582,8.106
1,2.0,2010-02-05,8,0,40129.01,211.0963582,8.106
1,2.0,2010-02-05,85,0,3825.78,211.0963582,8.106
1,2.0,2010-02-05,67,0,8414.14,211.0963582,8.106
1,2.0,2010-02-05,46,0,20837.77,211.0963582,8.106
1,2.0,2010-02-05,90,0,76419.47,211.0963582,8.106
1,2.0,2010-02-05,12,0,8449.54,211.0963582,8.106
1,2.0,2010-02-05,54,0,439.0,211.0963582,8.106
1,2.0,2010-02-05,14,0,19466.91,211.0963582,8.106
1,2.0,2010-02-05,94,0,56655.39,211.0963582,8.106
1,2.0,2010-02-05,97,0,32153.04,211.0963582,8.106
1,2.0,2010-02-05,42,0,8366.71,211.0963582,8.106
1,2.0,2010-02-05,49,0,11501.46,211.0963582,8.106
1,2.0,2010-02-05,47,0,70.0,211.0963582,8.106
1,2.0,2010-02-05,91,0,62424.14,211.0963582,8.106
1,2.0,2010-02-05,3,0,13740.12,211.0963582,8.106
1,2.0,2010-02-05,21,0,8907.63,211.0963582,8.106
1,2.0,2010-02-05,32,0,11875.84,211.0963582,8.106
1,2.0,2010-02-05,81,0,30052.75,211.0963582,8.106
1,2.0,2010-02-05,30,0,5491.0,211.0963582,8.106
1,2.0,2010-02-05,44,0,4674.75,211.0963582,8.106
1,2.0,2010-02-05,36,0,120.0,211.0963582,8.106
1,2.0,2010-02-05,48,0,814.0,211.0963582,8.106
1,2.0,2010-02-05,22,0,13623.98,211.0963582,8.106
1,2.0,2010-02-05,60,0,1416.8,211.0963582,8.106
1,2.0,2010-02-05,35,0,2770.0,211.0963582,8.106
1,2.0,2010-02-05,24,0,8272.9,211.0963582,8.106
1,2.0,2010-02-05,82,0,19484.03,211.0963582,8.106
